uncomp,,,,,,,,comp,,,,,,,,sczcopy,,,,,,,
,Iteration 0,,Iteration 1,,,,,,Iteration 0,,Iteration 1,,,,,,Iteration 0,,Iteration 1,,,,
Packet size,cum_minstret,cum_mcycles,cum_minstret,cum_mcycles,minstret,mcycles,cycle/byte,Packet size,cum_minstret,cum_mcycles,cum_minstret,cum_mcycles,minstret,mcycles,cycle/byte,Packet size,cum_minstret,cum_mcycles,cum_minstret,cum_mcycles,minstret,mcycles,cycle/byte
64,8576,12440,8576,10462,8576,10462,163.46875,64,12288,19098,12288,17618,12288,17618,275.28125,64,22704,36422,22704,34901,22704,34901,545.328125
128,21248,27375,21248,25262,12672,14800,115.625,128,30016,43192,30016,41405,17728,23787,185.8359375,128,49504,77350,49504,75392,26800,40491,316.3359375
256,42112,51097,42112,48996,20864,23734,92.7109375,256,58624,80018,58624,77348,28608,35943,140.4023438,256,84496,129295,84496,127289,34992,51897,202.7226563
512,79360,92606,79360,90070,37248,41074,80.22265625,512,108992,142225,108992,138725,50368,61377,119.8769531,512,135872,203143,135872,200777,51376,73488,143.53125
1024,149376,169467,149376,166284,70016,76214,74.42773438,1024,202880,254574,202880,250744,93888,112019,109.3935547,1024,220016,321414,220016,318749,84144,117972,115.2070313
2048,284928,317333,284928,312678,135552,146394,71.48144531,2048,383808,467664,383808,462135,180928,211391,103.2182617,2048,369696,528353,369696,524440,149680,205691,100.4350586
4096,551552,607745,551552,599227,266624,286549,69.95825195,4096,738816,883364,738816,875318,355008,413183,100.8747559,4096,650448,911437,650448,906157,280752,381717,93.19262695
8192,1080320,1183397,1080320,1171632,528768,572405,69.87365723,8192,1441984,1739444,1441984,1725732,703168,850414,103.8103027,8192,1193344,1647789,1193344,1643251,542896,737094,89.97729492
16384,2133376,2330805,2133376,2311119,1053056,1139487,69.54876709,16384,2841472,3570856,2841472,3555172,1399488,1829440,111.6601563,16384,2260528,3092612,2260528,3087437,1067184,1444186,88.14611816
