,,Baseline,,,,,,,,,,,,,SecureCells,,,,,,,,,,,,
,,Iteration 1,,,,Iteration 2,,,,,,,,,Iteration 1,,,,Iteration 2,,,,,,,,
Baseline,,mcycle,minstret,memaccs,tlbmisses,mcycle,minstret,memaccs,tlbmisses,cycles sim,cycles/req,inst/req,cycles/inst,cycles/req total,mcycle,minstret,memaccs,tlbmisses,mcycle,minstret,memaccs,tlbmisses,cycles sim,cycles/req,inst/req,cycles/inst,cycles/req total
128,8KB,69728,54272,15232,0,68144,54272,15232,0,,532.375,424,1.255601415,0,71404,55296,15488,0,69443,55296,15488,0,,542.5234375,432,1.255841291,
256,16KB,141175,108563,30468,0,138392,108563,30468,0,,540.59375,424.0742188,1.27476212,0,147731,110611,30980,0,146686,110611,30980,0,,572.9921875,432.0742188,1.32614297,
512,32KB,295758,217126,60936,0,291470,217126,60936,0,,569.2773438,424.0742188,1.342400265,0,296016,221222,61960,0,291403,221222,61960,0,,569.1464844,432.0742188,1.317242408,
1024,64KB,598317,434328,121888,0,591975,434328,121888,0,,578.1005859,424.1484375,1.362967619,0,589940,442520,123936,0,583928,442520,123936,0,,570.2421875,432.1484375,1.319551659,
2048,128KB,1180006,869164,243884,1,1174933,869164,243884,0,,573.6977539,424.3964844,1.351796669,0,1226824,885548,247980,0,1220802,885548,247980,0,,596.0947266,432.3964844,1.378583657,
4096,256KB,2342505,1739482,488012,0,2338211,1739482,488012,0,,570.8522949,424.6782227,1.344199595,0,2397687,1772250,496204,0,2393881,1772250,496204,0,,584.4436035,432.6782227,1.350758076,
8192,512KB,4691199,3483087,976892,0,4685818,3483087,976892,0,,571.9992676,425.1815186,1.345306046,0,4805298,3548623,993276,0,4801755,3548623,993276,0,,586.1517334,433.1815186,1.353131905,
16384,1MB,9429436,6984951,1957746,0,9422582,6984951,1957746,0,,575.1087646,426.3275757,1.348983264,0,9660112,7116023,1990514,0,9656671,7116023,1990514,0,,589.3964233,434.3275757,1.357032011,
32768,2MB,19077862,14049635,3932310,0,19071855,14049635,3932310,0,,582.026825,428.7608337,1.357462667,0,19568835,14311779,3997846,0,19568331,14311779,3997846,0,,597.1780701,436.7608337,1.367288511,
65536,4MB,39041565,28412059,7930584,827,39036601,28312059,7930584,841,,595.6512604,432.0077362,1.378797671,0,40000195,28936347,8061656,0,39993509,28936347,8061656,0,,610.2525177,441.5336151,1.382120176,
131072,8MB,82221710,58081037,16126362,43553,82160810,58051037,16126362,43541,,626.8372345,442.8942642,1.415320281,0,81848997,59129613,16388506,0,81767791,59129613,16388506,0,,623.8387375,451.1231461,1.382856861,
262144,16MB,184586262,121161227,33307292,326487,184324371,121162607,33307914,326293,,703.141674,462.1986656,1.521297499,0,176570054,123258379,33831580,0,176301600,123259767,33832206,0,,672.5372314,470.1986961,1.430325598,
524288,32MB,,,,,466835413,262358531,70841808,1685168,0,890.4178867,500.4091854,1.779379581,0,,,,,426923439,266552843,71890388,0,,814.2918377,508.4092007,1.601646541,
