uncomp,,,,,,comp,,,,,,sczcopy,,,,,
Packet size,cum_mcycles,cum_minstret,mcycles,minstret,cycle/byte,Packet size,cum_mcycles,cum_minstret,mcycles,minstret,cycle/byte,Packet size,cum_mcycles,cum_minstret,mcycles,minstret,cycle/byte
64,8548,8548,8548,8548,133.5625,64,14304,14304,14304,14304,223.5,64,27924,27924,27924,27924,436.3125
128,21192,21192,12644,12644,98.78125,128,34816,34816,20512,20512,160.25,128,59944,59944,32020,32020,250.15625
192,37932,37932,16740,16740,87.1875,192,61536,61536,26720,26720,139.1666667,192,96060,96060,36116,36116,188.1041667
256,58768,58768,20836,20836,81.390625,256,94464,94464,32928,32928,128.625,256,136272,136272,40212,40212,157.078125
320,83700,83700,24932,24932,77.9125,320,133600,133600,39136,39136,122.3,320,180580,180580,44308,44308,138.4625
384,112728,112728,29028,29028,75.59375,384,178944,178944,45344,45344,118.0833333,384,228984,228984,48404,48404,126.0520833
448,145852,145852,33124,33124,73.9375,448,230496,230496,51552,51552,115.0714286,448,281484,281484,52500,52500,117.1875
512,183072,183072,37220,37220,72.6953125,512,288256,288256,57760,57760,112.8125,512,338080,338080,56596,56596,110.5390625
576,224388,224388,41316,41316,71.72916667,576,352224,352224,63968,63968,111.0555556,576,398772,398772,60692,60692,105.3680556
640,269800,269800,45412,45412,70.95625,640,422400,422400,70176,70176,109.65,640,463560,463560,64788,64788,101.23125
704,319308,319308,49508,49508,70.32386364,704,498784,498784,76384,76384,108.5,704,532444,532444,68884,68884,97.84659091
768,372912,372912,53604,53604,69.796875,768,581376,581376,82592,82592,107.5416667,768,605424,605424,72980,72980,95.02604167
832,430612,430612,57700,57700,69.35096154,832,670176,670176,88800,88800,106.7307692,832,682500,682500,77076,77076,92.63942308
896,492408,492408,61796,61796,68.96875,896,765184,765184,95008,95008,106.0357143,896,763672,763672,81172,81172,90.59375
960,558300,558300,65892,65892,68.6375,960,866400,866400,101216,101216,105.4333333,960,848940,848940,85268,85268,88.82083333
1024,628288,628288,69988,69988,68.34765625,1024,973824,973824,107424,107424,104.90625,1024,938304,938304,89364,89364,87.26953125
1088,702372,702372,74084,74084,68.09191176,1088,1087456,1087456,113632,113632,104.4411765,1088,1031764,1031764,93460,93460,85.90073529
1152,780552,780552,78180,78180,67.86458333,1152,1207296,1207296,119840,119840,104.0277778,1152,1129320,1129320,97556,97556,84.68402778
1216,862828,862828,82276,82276,67.66118421,1216,1333344,1333344,126048,126048,103.6578947,1216,1230972,1230972,101652,101652,83.59539474
1280,949200,949200,86372,86372,67.478125,1280,1465600,1465600,132256,132256,103.325,1280,1336720,1336720,105748,105748,82.615625
1344,1039668,1039668,90468,90468,67.3125,1344,1604064,1604064,138464,138464,103.0238095,1344,1446564,1446564,109844,109844,81.72916667
1408,1134232,1134232,94564,94564,67.16193182,1408,1748736,1748736,144672,144672,102.75,1408,1560504,1560504,113940,113940,80.92329545
1472,1232892,1232892,98660,98660,67.02445652,1472,1899616,1899616,150880,150880,102.5,1472,1678540,1678540,118036,118036,80.1875
1536,1335648,1335648,102756,102756,66.8984375,1536,2056704,2056704,157088,157088,102.2708333,1536,1800672,1800672,122132,122132,79.51302083
1600,1442500,1442500,106852,106852,66.7825,1600,2220000,2220000,163296,163296,102.06,1600,1926900,1926900,126228,126228,78.8925
1664,1553448,1553448,110948,110948,66.67548077,1664,2389504,2389504,169504,169504,101.8653846,1664,2057224,2057224,130324,130324,78.31971154
1728,1668492,1668492,115044,115044,66.57638889,1728,2565216,2565216,175712,175712,101.6851852,1728,2191644,2191644,134420,134420,77.78935185
1792,1787632,1787632,119140,119140,66.484375,1792,2747136,2747136,181920,181920,101.5178571,1792,2330160,2330160,138516,138516,77.296875
1856,1910868,1910868,123236,123236,66.3987069,1856,2935264,2935264,188128,188128,101.362069,1856,2472772,2472772,142612,142612,76.83836207
1920,2038200,2038200,127332,127332,66.31875,1920,3129600,3129600,194336,194336,101.2166667,1920,2619480,2619480,146708,146708,76.41041667
1984,2169628,2169628,131428,131428,66.24395161,1984,3330144,3330144,200544,200544,101.0806452,1984,2770284,2770284,150804,150804,76.01008065
2048,2305152,2305152,135524,135524,66.17382813,2048,3536896,3536896,206752,206752,100.953125,2048,2925184,2925184,154900,154900,75.63476563
2112,2444772,2444772,139620,139620,66.10795455,2112,3749856,3749856,212960,212960,100.8333333,2112,3084180,3084180,158996,158996,75.28219697
2176,2588488,2588488,143716,143716,66.04595588,2176,3969024,3969024,219168,219168,100.7205882,2176,3247272,3247272,163092,163092,74.95036765
2240,2736300,2736300,147812,147812,65.9875,2240,4194400,4194400,225376,225376,100.6142857,2240,3414460,3414460,167188,167188,74.6375
2304,2888208,2888208,151908,151908,65.93229167,2304,4425984,4425984,231584,231584,100.5138889,2304,3585744,3585744,171284,171284,74.34201389
2368,3044212,3044212,156004,156004,65.88006757,2368,4663776,4663776,237792,237792,100.4189189,2368,3761124,3761124,175380,175380,74.0625
2432,3204312,3204312,160100,160100,65.83059211,2432,4907776,4907776,244000,244000,100.3289474,2432,3940600,3940600,179476,179476,73.79769737
2496,3368508,3368508,164196,164196,65.78365385,2496,5157984,5157984,250208,250208,100.2435897,2496,4124172,4124172,183572,183572,73.54647436
2560,3536800,3536800,168292,168292,65.7390625,2560,5414400,5414400,256416,256416,100.1625,2560,4311840,4311840,187668,187668,73.3078125
2624,3709188,3709188,172388,172388,65.69664634,2624,5677024,5677024,262624,262624,100.0853659,2624,4503604,4503604,191764,191764,73.08079268
2688,3885672,3885672,176484,176484,65.65625,2688,5945856,5945856,268832,268832,100.0119048,2688,4699464,4699464,195860,195860,72.86458333
2752,4066252,4066252,180580,180580,65.61773256,2752,6220896,6220896,275040,275040,99.94186047,2752,4899420,4899420,199956,199956,72.65843023
2816,4250928,4250928,184676,184676,65.58096591,2816,6502144,6502144,281248,281248,99.875,2816,5103472,5103472,204052,204052,72.46164773
2880,4439700,4439700,188772,188772,65.54583333,2880,6789600,6789600,287456,287456,99.81111111,2880,5311620,5311620,208148,208148,72.27361111
2944,4632568,4632568,192868,192868,65.51222826,2944,7083264,7083264,293664,293664,99.75,2944,5523864,5523864,212244,212244,72.09375
3008,4829532,4829532,196964,196964,65.48005319,3008,7383136,7383136,299872,299872,99.69148936,3008,5740204,5740204,216340,216340,71.92154255
3072,5030592,5030592,201060,201060,65.44921875,3072,7689216,7689216,306080,306080,99.63541667,3072,5960640,5960640,220436,220436,71.75651042
3136,5235748,5235748,205156,205156,65.41964286,3136,8001504,8001504,312288,312288,99.58163265,3136,6185172,6185172,224532,224532,71.59821429
3200,5445000,5445000,209252,209252,65.39125,3200,8320000,8320000,318496,318496,99.53,3200,6413800,6413800,228628,228628,71.44625
3264,5658348,5658348,213348,213348,65.36397059,3264,8644704,8644704,324704,324704,99.48039216,3264,6646524,6646524,232724,232724,71.3002451
3328,5875792,5875792,217444,217444,65.33774038,3328,8975616,8975616,330912,330912,99.43269231,3328,6883344,6883344,236820,236820,71.15985577
3392,6097332,6097332,221540,221540,65.3125,3392,9312736,9312736,337120,337120,99.38679245,3392,7124260,7124260,240916,240916,71.02476415
3456,6322968,6322968,225636,225636,65.28819444,3456,9656064,9656064,343328,343328,99.34259259,3456,7369272,7369272,245012,245012,70.89467593
3520,6552700,6552700,229732,229732,65.26477273,3520,10005600,10005600,349536,349536,99.3,3520,7618380,7618380,249108,249108,70.76931818
3584,6786528,6786528,233828,233828,65.2421875,3584,10361344,10361344,355744,355744,99.25892857,3584,7871584,7871584,253204,253204,70.6484375
3648,7024452,7024452,237924,237924,65.22039474,3648,10723296,10723296,361952,361952,99.21929825,3648,8128884,8128884,257300,257300,70.53179825
3712,7266472,7266472,242020,242020,65.19935345,3712,11091456,11091456,368160,368160,99.18103448,3712,8390280,8390280,261396,261396,70.41918103
3776,7512588,7512588,246116,246116,65.17902542,3776,11465824,11465824,374368,374368,99.1440678,3776,8655772,8655772,265492,265492,70.31038136
3840,7762800,7762800,250212,250212,65.159375,3840,11846400,11846400,380576,380576,99.10833333,3840,8925360,8925360,269588,269588,70.20520833
3904,8017108,8017108,254308,254308,65.14036885,3904,12233184,12233184,386784,386784,99.07377049,3904,9199044,9199044,273684,273684,70.10348361
3968,8275512,8275512,258404,258404,65.12197581,3968,12626176,12626176,392992,392992,99.04032258,3968,9476824,9476824,277780,277780,70.00504032
4032,8538012,8538012,262500,262500,65.10416667,4032,13025376,13025376,399200,399200,99.00793651,4032,9758700,9758700,281876,281876,69.90972222
4096,8804608,8804608,266596,266596,65.08691406,4096,13430784,13430784,405408,405408,98.9765625,4096,10044672,10044672,285972,285972,69.81738281
4160,9075300,9075300,270692,270692,65.07019231,4160,13842400,13842400,411616,411616,98.94615385,4160,10334740,10334740,290068,290068,69.72788462
4224,9350088,9350088,274788,274788,65.05397727,4224,14260224,14260224,417824,417824,98.91666667,4224,10628904,10628904,294164,294164,69.64109848
4288,9628972,9628972,278884,278884,65.03824627,4288,14684256,14684256,424032,424032,98.8880597,4288,10927164,10927164,298260,298260,69.55690299
