uncomp,,,,,,,,comp,,,,,,,,sczcopy,,,,,,,
,Iteration 0,,Iteration 1,,,,,,Iteration 0,,Iteration 1,,,,,,Iteration 0,,Iteration 1,,,,
Packet size,cum_minstret,cum_mcycles,cum_minstret,cum_mcycles,minstret,mcycles,cycle/byte,Packet size,cum_minstret,cum_mcycles,cum_minstret,cum_mcycles,minstret,mcycles,cycle/byte,Packet size,cum_minstret,cum_mcycles,cum_minstret,cum_mcycles,minstret,mcycles,cycle/byte
64,8748,13349,8748,11747,8748,11747,183.546875,64,12516,19887,12516,18274,12516,18274,285.53125,64,22932,36316,22932,35171,22932,35171,549.546875
128,21592,30617,21592,28871,12844,17124,133.78125,128,30472,46297,30472,44050,17956,25776,201.375,128,49960,77068,49960,75769,27028,40598,317.171875
256,42628,58897,42628,56865,21036,27994,109.3515625,256,59308,87384,59308,84943,28836,40893,159.7382813,256,85180,129290,85180,127760,35220,51991,203.0898438
512,80048,109042,80048,106724,37420,49859,97.38085938,512,109904,158367,109904,155804,50596,70861,138.4003906,512,136784,203254,136784,201535,51604,73775,144.0917969
1024,150236,203080,150236,200364,70188,93640,91.4453125,1024,204020,289746,204020,286149,94116,130345,127.2900391,1024,221156,321555,221156,319284,84372,117749,114.9892578
2048,285960,384696,285960,380640,135724,180276,88.02539063,2048,385176,540758,385176,535367,181156,249218,121.6884766,2048,371064,527760,371064,524973,149908,205689,100.434082
4096,552756,742365,552756,735253,266796,354613,86.57543945,4096,740412,1032053,740412,1023665,355236,488298,119.2133789,4096,652044,909671,652044,905914,280980,380941,93.00317383
8192,1081696,1452962,1081696,1445101,528940,709848,86.65136719,8192,1443808,2038887,1443808,2024949,703396,1001284,122.2270508,8192,1195168,1645686,1195168,1642007,543124,736093,89.85510254
16384,2134924,2870648,2134924,2858820,1053228,1413719,86.28656006,16384,2843524,4176045,2843524,4161884,1399716,2136935,130.4281616,16384,2262580,3087597,2262580,3083741,1067412,1441734,87.99645996
